example_id                                                      | status | run_time        |
./spec/lib/railspress/entity_spec.rb[3:1:1]                     | passed | 0.00017 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:2]                     | passed | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:3]                     | passed | 0.00053 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:4]                     | passed | 0.00012 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:5]                     | passed | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:6]                     | passed | 0.00029 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:7]                     | passed | 0.00069 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:8]                     | passed | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[3:2:1]                     | passed | 0.00012 seconds |
./spec/lib/railspress/entity_spec.rb[3:2:2]                     | passed | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[3:3:1]                     | passed | 0.00049 seconds |
./spec/lib/railspress/entity_spec.rb[3:3:2]                     | passed | 0.00016 seconds |
./spec/models/railspress/category_spec.rb[1:1:1]                | passed | 0.01972 seconds |
./spec/models/railspress/category_spec.rb[1:1:2]                | passed | 0.00068 seconds |
./spec/models/railspress/category_spec.rb[1:2:1]                | passed | 0.00046 seconds |
./spec/models/railspress/category_spec.rb[1:2:2]                | passed | 0.00029 seconds |
./spec/models/railspress/category_spec.rb[1:3:1]                | passed | 0.00094 seconds |
./spec/models/railspress/export_spec.rb[1:1:1]                  | passed | 0.0003 seconds  |
./spec/models/railspress/export_spec.rb[1:1:2]                  | passed | 0.00017 seconds |
./spec/models/railspress/export_spec.rb[1:1:3]                  | passed | 0.00023 seconds |
./spec/models/railspress/export_spec.rb[1:1:4]                  | passed | 0.00016 seconds |
./spec/models/railspress/export_spec.rb[1:2:1]                  | passed | 0.00044 seconds |
./spec/models/railspress/export_spec.rb[1:2:2]                  | passed | 0.00069 seconds |
./spec/models/railspress/export_spec.rb[1:2:3]                  | passed | 0.00062 seconds |
./spec/models/railspress/export_spec.rb[1:2:4]                  | passed | 0.00059 seconds |
./spec/models/railspress/export_spec.rb[1:2:5]                  | passed | 0.00069 seconds |
./spec/models/railspress/export_spec.rb[1:2:6]                  | passed | 0.00073 seconds |
./spec/models/railspress/export_spec.rb[1:2:7]                  | passed | 0.00068 seconds |
./spec/models/railspress/export_spec.rb[1:3:1]                  | passed | 0.00064 seconds |
./spec/models/railspress/export_spec.rb[1:3:2]                  | passed | 0.00121 seconds |
./spec/models/railspress/export_spec.rb[1:3:3]                  | passed | 0.00094 seconds |
./spec/models/railspress/export_spec.rb[1:4:1]                  | passed | 0.00066 seconds |
./spec/models/railspress/export_spec.rb[1:5:1]                  | passed | 0.0007 seconds  |
./spec/models/railspress/export_spec.rb[1:6:1]                  | passed | 0.00104 seconds |
./spec/models/railspress/export_spec.rb[1:6:2]                  | passed | 0.00091 seconds |
./spec/models/railspress/export_spec.rb[1:6:3]                  | passed | 0.00096 seconds |
./spec/models/railspress/export_spec.rb[1:6:4]                  | passed | 0.00096 seconds |
./spec/models/railspress/export_spec.rb[1:6:5]                  | passed | 0.00117 seconds |
./spec/models/railspress/import_spec.rb[1:1:1]                  | passed | 0.00068 seconds |
./spec/models/railspress/import_spec.rb[1:1:2]                  | passed | 0.00043 seconds |
./spec/models/railspress/import_spec.rb[1:1:3]                  | passed | 0.00077 seconds |
./spec/models/railspress/import_spec.rb[1:1:4]                  | passed | 0.00042 seconds |
./spec/models/railspress/import_spec.rb[1:2:1]                  | passed | 0.00154 seconds |
./spec/models/railspress/import_spec.rb[1:2:2]                  | passed | 0.00016 seconds |
./spec/models/railspress/import_spec.rb[1:2:3]                  | passed | 0.00032 seconds |
./spec/models/railspress/import_spec.rb[1:2:4]                  | passed | 0.00039 seconds |
./spec/models/railspress/import_spec.rb[1:2:5]                  | passed | 0.00031 seconds |
./spec/models/railspress/import_spec.rb[1:3:1]                  | passed | 0.00046 seconds |
./spec/models/railspress/import_spec.rb[1:3:2]                  | passed | 0.00044 seconds |
./spec/models/railspress/import_spec.rb[1:3:3]                  | passed | 0.00072 seconds |
./spec/models/railspress/import_spec.rb[1:3:4]                  | passed | 0.00022 seconds |
./spec/models/railspress/import_spec.rb[1:3:5]                  | passed | 0.00043 seconds |
./spec/models/railspress/import_spec.rb[1:3:6]                  | passed | 0.00025 seconds |
./spec/models/railspress/import_spec.rb[1:3:7]                  | passed | 0.00044 seconds |
./spec/models/railspress/import_spec.rb[1:4:1]                  | passed | 0.00052 seconds |
./spec/models/railspress/import_spec.rb[1:4:2]                  | passed | 0.00075 seconds |
./spec/models/railspress/import_spec.rb[1:4:3]                  | passed | 0.00197 seconds |
./spec/models/railspress/import_spec.rb[1:5:1]                  | passed | 0.00044 seconds |
./spec/models/railspress/import_spec.rb[1:5:2]                  | passed | 0.00078 seconds |
./spec/models/railspress/import_spec.rb[1:6:1]                  | passed | 0.00095 seconds |
./spec/models/railspress/import_spec.rb[1:7:1]                  | passed | 0.00472 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:1:1]   | passed | 0.00484 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:1:2]   | passed | 0.0104 seconds  |
./spec/models/railspress/post_export_processor_spec.rb[1:1:3]   | passed | 0.01824 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:1:4]   | passed | 0.01087 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:1:5]   | passed | 0.01078 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:1:6]   | passed | 0.01115 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:1:7]   | passed | 0.01948 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:1]   | passed | 0.00939 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:2]   | passed | 0.00917 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:3]   | passed | 0.00985 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:4]   | passed | 0.01484 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:5]   | passed | 0.01059 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:6]   | passed | 0.00951 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:2:7]   | passed | 0.00914 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:3:1]   | passed | 0.01404 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:3:2]   | passed | 0.02322 seconds |
./spec/models/railspress/post_export_processor_spec.rb[1:4:1]   | passed | 0.04872 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:1] | passed | 0.006 seconds   |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:2] | passed | 0.00806 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:3] | passed | 0.00572 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:4] | passed | 0.00642 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:5] | passed | 0.00622 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:6] | passed | 0.00574 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:7] | passed | 0.00603 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:1:8] | passed | 0.0053 seconds  |
./spec/models/railspress/post_import_processor_spec.rb[1:1:2:1] | passed | 0.00257 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:2:2] | passed | 0.00288 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:2:3] | passed | 0.00255 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:3:1] | passed | 0.00272 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:4:1] | passed | 0.00286 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:4:2] | passed | 0.00256 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:4:3] | passed | 0.00288 seconds |
./spec/models/railspress/post_import_processor_spec.rb[1:1:5:1] | passed | 0.00116 seconds |
